timestamp,lon,lat,speed_knots,emissions_CO2,emissions_CO,emissions_SOX,emissions_N2O,emissions_NOX,emissions_PM,emissions_CH4,interpolated,current_phase,datetime
2021-04-24 17:00:00+00:00,14.58256,53.4412666667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-24 17:00:00
2021-04-24 18:00:00+00:00,14.5825683333,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-24 18:00:00
2021-04-24 19:00:00+00:00,14.5825583333,53.44126,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-24 19:00:00
2021-04-24 20:00:00+00:00,14.5825883333,53.44122,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-24 20:00:00
2021-04-24 21:00:00+00:00,14.5825666667,53.4412766667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-24 21:00:00
2021-04-24 22:00:00+00:00,14.5825616667,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-24 22:00:00
2021-04-24 23:00:00+00:00,14.5825583333,53.4412666667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-24 23:00:00
2021-04-25 00:00:00+00:00,14.5825533333,53.4412266667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-25 00:00:00
2021-04-25 01:00:00+00:00,14.5825616667,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-25 01:00:00
2021-04-25 02:00:00+00:00,14.58257,53.4412366667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-25 02:00:00
2021-04-25 03:00:00+00:00,14.5825683333,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-25 03:00:00
2021-04-25 04:00:00+00:00,14.58255,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-25 04:00:00
2021-04-25 05:00:00+00:00,14.5825516667,53.4412766667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-25 05:00:00
2021-04-25 06:00:00+00:00,14.58255,53.4412666667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-25 06:00:00
2021-04-25 07:00:00+00:00,14.5825683333,53.44126,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-25 07:00:00
2021-04-25 08:00:00+00:00,14.5825533333,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-25 08:00:00
2021-04-25 09:00:00+00:00,14.5825533333,53.4412366667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-25 09:00:00
2021-04-25 10:00:00+00:00,14.5825533333,53.4412366667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-25 10:00:00
2021-04-25 11:00:00+00:00,14.58256,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-25 11:00:00
2021-04-25 12:00:00+00:00,14.5825533333,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-25 12:00:00
2021-04-25 13:00:00+00:00,14.58255,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-25 13:00:00
2021-04-25 14:00:00+00:00,14.5825583333,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-25 14:00:00
2021-04-25 15:00:00+00:00,14.5825683333,53.4413,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-25 15:00:00
2021-04-25 16:00:00+00:00,14.58257,53.44126,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-25 16:00:00
2021-04-25 17:00:00+00:00,14.5825616667,53.44126,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-25 17:00:00
2021-04-25 18:00:00+00:00,14.58256,53.4412433333,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-25 18:00:00
2021-04-25 19:00:00+00:00,14.58255,53.4412766667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-25 19:00:00
2021-04-25 20:00:00+00:00,14.58258,53.4412266667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-25 20:00:00
2021-04-25 21:00:00+00:00,14.5825466667,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-25 21:00:00
2021-04-25 22:00:00+00:00,14.58256,53.44126,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-25 22:00:00
2021-04-25 23:00:00+00:00,14.5825616667,53.44126,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-25 23:00:00
2021-04-26 00:00:00+00:00,14.5825616667,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-26 00:00:00
2021-04-26 01:00:00+00:00,14.5825666667,53.4412433333,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-26 01:00:00
2021-04-26 02:00:00+00:00,14.58257,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-26 02:00:00
2021-04-26 03:00:00+00:00,14.58256,53.44126,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-26 03:00:00
2021-04-26 04:00:00+00:00,14.5825616667,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-26 04:00:00
2021-04-26 05:00:00+00:00,14.5825533333,53.4412666667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-26 05:00:00
2021-04-26 06:00:00+00:00,14.5825516667,53.4412666667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-26 06:00:00
2021-04-26 07:00:00+00:00,14.5825583333,53.44126,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-26 07:00:00
2021-04-26 08:00:00+00:00,14.5825433333,53.4412833333,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-26 08:00:00
2021-04-26 09:00:00+00:00,14.5825616667,53.4412366667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-26 09:00:00
2021-04-26 10:00:00+00:00,14.5825583333,53.4412766667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-26 10:00:00
2021-04-26 11:00:00+00:00,14.5825533333,53.4412433333,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-26 11:00:00
2021-04-26 12:00:00+00:00,14.5825516667,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-26 12:00:00
2021-04-26 13:00:00+00:00,14.5825616667,53.4412366667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-26 13:00:00
2021-04-26 14:00:00+00:00,14.5825616667,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-26 14:00:00
2021-04-26 15:00:00+00:00,14.5825716667,53.4412666667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-26 15:00:00
2021-04-26 16:00:00+00:00,14.5825783333,53.4412666667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-26 16:00:00
2021-04-26 17:00:00+00:00,14.5825666667,53.4412766667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-26 17:00:00
2021-04-26 18:00:00+00:00,14.5825666667,53.4412433333,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-26 18:00:00
2021-04-26 19:00:00+00:00,14.58256,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-26 19:00:00
2021-04-26 20:00:00+00:00,14.582585,53.44122,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-26 20:00:00
2021-04-26 21:00:00+00:00,14.5825516667,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-26 21:00:00
2021-04-26 22:00:00+00:00,14.5825666667,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-26 22:00:00
2021-04-26 23:00:00+00:00,14.5825766667,53.4412433333,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-26 23:00:00
2021-04-27 00:00:00+00:00,14.5825683333,53.44126,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-27 00:00:00
2021-04-27 01:00:00+00:00,14.58256,53.44126,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-27 01:00:00
2021-04-27 02:00:00+00:00,14.58257,53.4412666667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-27 02:00:00
2021-04-27 03:00:00+00:00,14.5825616667,53.4412666667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-27 03:00:00
2021-04-27 04:00:00+00:00,14.5825616667,53.44126,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-27 04:00:00
2021-04-27 05:00:00+00:00,14.58255,53.4412666667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-27 05:00:00
2021-04-27 06:00:00+00:00,14.5825533333,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-27 06:00:00
2021-04-27 07:00:00+00:00,14.5825516667,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-27 07:00:00
2021-04-27 08:00:00+00:00,14.5825583333,53.44126,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-27 08:00:00
2021-04-27 09:00:00+00:00,14.58256,53.4412366667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-27 09:00:00
2021-04-27 10:00:00+00:00,14.5825616667,53.4412433333,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-27 10:00:00
2021-04-27 11:00:00+00:00,14.5825516667,53.4412433333,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-27 11:00:00
2021-04-27 12:00:00+00:00,14.5825616667,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-27 12:00:00
2021-04-27 13:00:00+00:00,14.5825516667,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-27 13:00:00
2021-04-27 14:00:00+00:00,14.5825616667,53.44126,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-27 14:00:00
2021-04-27 15:00:00+00:00,14.5825616667,53.4412766667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-27 15:00:00
2021-04-27 16:00:00+00:00,14.5825766667,53.4412666667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-27 16:00:00
2021-04-27 17:00:00+00:00,14.5825583333,53.4412766667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-27 17:00:00
2021-04-27 18:00:00+00:00,14.58256,53.4412433333,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-27 18:00:00
2021-04-27 19:00:00+00:00,14.5825583333,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-27 19:00:00
2021-04-27 20:00:00+00:00,14.5825783333,53.4412366667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-27 20:00:00
2021-04-27 21:00:00+00:00,14.5825533333,53.44126,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-27 21:00:00
2021-04-27 22:00:00+00:00,14.5825533333,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-27 22:00:00
2021-04-27 23:00:00+00:00,14.5825666667,53.4412366667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-27 23:00:00
2021-04-28 00:00:00+00:00,14.5825666667,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-28 00:00:00
2021-04-28 01:00:00+00:00,14.5825616667,53.44126,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-28 01:00:00
2021-04-28 02:00:00+00:00,14.58256,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-28 02:00:00
2021-04-28 03:00:00+00:00,14.58255,53.4412666667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-28 03:00:00
2021-04-28 04:00:00+00:00,14.5825666667,53.4412666667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-28 04:00:00
2021-04-28 05:00:00+00:00,14.5825533333,53.4412433333,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-28 05:00:00
2021-04-28 06:00:00+00:00,14.5825583333,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-28 06:00:00
2021-04-28 07:00:00+00:00,14.5825466667,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-28 07:00:00
2021-04-28 08:00:00+00:00,14.58253,53.4412666667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-28 08:00:00
2021-04-28 09:00:00+00:00,14.5825516667,53.4412366667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-28 09:00:00
2021-04-28 10:00:00+00:00,14.5825533333,53.44126,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-28 10:00:00
2021-04-28 11:00:00+00:00,14.5825516667,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-28 11:00:00
2021-04-28 12:00:00+00:00,14.58255,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-28 12:00:00
2021-04-28 13:00:00+00:00,14.58256,53.44126,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-28 13:00:00
2021-04-28 14:00:00+00:00,14.5825666667,53.44126,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-28 14:00:00
2021-04-28 15:00:00+00:00,14.5825516667,53.4412766667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-28 15:00:00
2021-04-28 16:00:00+00:00,14.5825533333,53.4412766667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-28 16:00:00
2021-04-28 17:00:00+00:00,14.5825416667,53.4412766667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-28 17:00:00
2021-04-28 18:00:00+00:00,14.5825516667,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-28 18:00:00
2021-04-28 19:00:00+00:00,14.58255,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-28 19:00:00
2021-04-28 20:00:00+00:00,14.5825683333,53.4412366667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-28 20:00:00
2021-04-28 21:00:00+00:00,14.5825466667,53.4412366667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-28 21:00:00
2021-04-28 22:00:00+00:00,14.5825516667,53.44126,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-28 22:00:00
2021-04-28 23:00:00+00:00,14.5825666667,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-28 23:00:00
2021-04-29 00:00:00+00:00,14.5825583333,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-29 00:00:00
2021-04-29 01:00:00+00:00,14.5825583333,53.4412666667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-29 01:00:00
2021-04-29 02:00:00+00:00,14.58256,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-29 02:00:00
2021-04-29 03:00:00+00:00,14.5825466667,53.4412666667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-29 03:00:00
2021-04-29 04:00:00+00:00,14.5825583333,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-29 04:00:00
2021-04-29 05:00:00+00:00,14.5825533333,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-29 05:00:00
2021-04-29 06:00:00+00:00,14.58256,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-29 06:00:00
2021-04-29 07:00:00+00:00,14.5825583333,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-29 07:00:00
2021-04-29 08:00:00+00:00,14.5825533333,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-29 08:00:00
2021-04-29 09:00:00+00:00,14.5825516667,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-29 09:00:00
2021-04-29 10:00:00+00:00,14.5825666667,53.4412366667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-29 10:00:00
2021-04-29 11:00:00+00:00,14.5825583333,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-29 11:00:00
2021-04-29 12:00:00+00:00,14.5825533333,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-29 12:00:00
2021-04-29 13:00:00+00:00,14.5825533333,53.44126,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-29 13:00:00
2021-04-29 14:00:00+00:00,14.5825683333,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-29 14:00:00
2021-04-29 15:00:00+00:00,14.5825516667,53.4412666667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-29 15:00:00
2021-04-29 16:00:00+00:00,14.5825616667,53.44126,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-29 16:00:00
2021-04-29 17:00:00+00:00,14.5825666667,53.4412666667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-29 17:00:00
2021-04-29 18:00:00+00:00,14.58256,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-29 18:00:00
2021-04-29 19:00:00+00:00,14.58255,53.4412766667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-29 19:00:00
2021-04-29 20:00:00+00:00,14.58257,53.4412433333,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-29 20:00:00
2021-04-29 21:00:00+00:00,14.5825616667,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-29 21:00:00
2021-04-29 22:00:00+00:00,14.58257,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-29 22:00:00
2021-04-29 23:00:00+00:00,14.5825883333,53.4412766667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-29 23:00:00
2021-04-30 00:00:00+00:00,14.5825616667,53.44126,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-30 00:00:00
2021-04-30 01:00:00+00:00,14.5825766667,53.4412433333,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-30 01:00:00
2021-04-30 02:00:00+00:00,14.5825666667,53.4412666667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-30 02:00:00
2021-04-30 03:00:00+00:00,14.5825516667,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-30 03:00:00
2021-04-30 04:00:00+00:00,14.5825583333,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-30 04:00:00
2021-04-30 05:00:00+00:00,14.5825533333,53.4412766667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-30 05:00:00
2021-04-30 06:00:00+00:00,14.5825666667,53.4412366667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-30 06:00:00
2021-04-30 07:00:00+00:00,14.5825683333,53.4412433333,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-30 07:00:00
2021-04-30 08:00:00+00:00,14.5825616667,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-30 08:00:00
2021-04-30 09:00:00+00:00,14.58256,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-30 09:00:00
2021-04-30 10:00:00+00:00,14.58256,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-30 10:00:00
2021-04-30 11:00:00+00:00,14.5825383333,53.44126,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-30 11:00:00
2021-04-30 12:00:00+00:00,14.5825583333,53.4412366667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-30 12:00:00
2021-04-30 13:00:00+00:00,14.58256,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-30 13:00:00
2021-04-30 14:00:00+00:00,14.5825716667,53.44125,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-30 14:00:00
2021-04-30 15:00:00+00:00,14.5825416667,53.4412433333,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-30 15:00:00
2021-04-30 16:00:00+00:00,14.5825533333,53.4412766667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-30 16:00:00
2021-04-30 17:00:00+00:00,14.5825666667,53.44126,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-30 17:00:00
2021-04-30 18:00:00+00:00,14.58256,53.4412366667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-30 18:00:00
2021-04-30 19:00:00+00:00,14.5825433333,53.4412766667,0.0,42.42,0.0324,0.7188,0.0024,0.50667768834919,0.0864,0.0006,No (reported postion),anchor,2021-04-30 19:00:00
